player_name,team_abbreviation,old_ppg,new_ppg,ppg_difference,ppg_percent_inc
Aaron Gordon,ORL,14.362068965517242,14.637931034482758,0.275862068965516,0.018845700824499323
Aaron Holiday,IND,9.413793103448276,9.64655172413793,0.2327586206896548,0.024128686327077764
Abdel Nader,OKC,5.979166666666667,6.020833333333333,0.041666666666666075,0.006920415224913379
Adam Mokoka,CHI,2.909090909090909,2.909090909090909,0,0
Admiral Schofield,WAS,3.074074074074074,3.1481481481481484,0.0740740740740744,0.02352941176470602
Al Horford,PHI,12.033333333333333,12.591666666666667,0.5583333333333336,0.04434149569821311
Al-Farouq Aminu,ORL,4.333333333333333,4.388888888888889,0.055555555555556246,0.012658227848101444
Alec Burks,PHI,15.101694915254237,15.55084745762712,0.4491525423728824,0.028882833787466033
Alen Smailagic,GSW,4.214285714285714,4.25,0.03571428571428559,0.008403361344537785
Alex Caruso,LAL,5.448275862068965,5.5,0.0517241379310347,0.009404388714733591
Alex Len,SAC,8.326530612244898,8.33673469387755,0.010204081632652517,0.001223990208078285
Alfonzo McKinnie,CLE,4.55,4.6125,0.0625,0.013550135501354976
Alize Johnson,IND,1.3846153846153846,1.3846153846153846,0,0
Allen Crabbe,MIN,4.648648648648648,4.77027027027027,0.12162162162162193,0.025495750708215414
Allonzo Trier,NYK,6.458333333333333,6.770833333333333,0.3125,0.0461538461538461
Amile Jefferson,ORL,0.8333333333333334,0.8333333333333334,0,0
Amir Coffey,LAC,2.1538461538461537,2.269230769230769,0.11538461538461542,0.05084745762711862
Andre Drummond,CLE,17.719298245614034,17.763157894736842,0.043859649122808264,0.0024691358024692134
Andre Iguodala,MIA,4.357142857142857,4.5,0.14285714285714324,0.031746031746031855
Andrew Wiggins,GSW,21.75925925925926,22.185185185185187,0.4259259259259274,0.019198664440734592
Anfernee Simons,POR,8.8,9.146153846153846,0.3461538461538449,0.037846930193439765
Ante Zizic,CLE,4.363636363636363,4.454545454545454,0.09090909090909083,0.020408163265306145
Anthony Davis,LAL,26.672727272727272,27.445454545454545,0.7727272727272734,0.028155018217952965
Anthony Tolliver,MEM,3.5106382978723403,3.5425531914893615,0.03191489361702127,0.009009009009009028
Antonius Cleveland,DAL,0.8333333333333334,0.8333333333333334,0,0
Anzejs Pasecniks,WAS,6,6.020833333333333,0.020833333333333037,0.0034602076124566894
Aron Baynes,PHX,11.452380952380953,11.511904761904763,0.0595238095238102,0.005170630816959676
Austin Rivers,HOU,8.45,8.475,0.025000000000000355,0.002949852507374673
Avery Bradley,LAL,8.63265306122449,9.081632653061224,0.44897959183673386,0.04943820224719098
BJ Johnson,ORL,1.625,1.6875,0.0625,0.03703703703703709
Bam Adebayo,MIA,16.2,16.346153846153847,0.1461538461538474,0.008941176470588341
Ben McLemore,HOU,9.825396825396826,9.825396825396826,0,0
Ben Simmons,PHI,16.703703703703702,16.74074074074074,0.03703703703703809,0.0022123893805310324
Bismack Biyombo,CHA,7.415094339622642,7.433962264150943,0.018867924528301216,0.0025380710659898
Blake Griffin,DET,15.5,15.583333333333334,0.08333333333333393,0.005347593582887722
Boban Marjanovic,DAL,6.27027027027027,6.391891891891892,0.12162162162162193,0.019027484143763207
Bobby Portis,NYK,10.106060606060606,10.492424242424242,0.3863636363636367,0.03682310469314087
Bogdan Bogdanovic,SAC,14.471698113207546,14.88679245283019,0.41509433962264275,0.027883396704689534
Bojan Bogdanovic,UTA,20.238095238095237,20.38888888888889,0.15079365079365203,0.007395873880887582
Brad Wanamaker,BOS,6.555555555555555,6.666666666666667,0.1111111111111116,0.01666666666666672
Bradley Beal,WAS,30.54385964912281,31.526315789473685,0.9824561403508767,0.03116304952698945
Brandon Clarke,MEM,12.04,12.1,0.0600000000000005,0.0049586776859504855
Brandon Goodwin,ATL,6.0588235294117645,6.161764705882353,0.10294117647058876,0.01670644391408127
Brandon Ingram,NOP,24.232142857142858,25.017857142857142,0.7857142857142847,0.03140613847251961
Brandon Knight,DET,7.32,7.36,0.040000000000000036,0.005434782608695676
Brian Bowen II,IND,0.8,0.8,0,0
Brook Lopez,MIL,10.98360655737705,11.147540983606557,0.16393442622950793,0.014705882352941124
Bruce Brown,DET,8.913793103448276,8.948275862068966,0.03448275862069039,0.003853564547206201
Bruno Caboclo,HOU,2.6296296296296298,2.685185185185185,0.05555555555555536,0.020689655172413723
Bruno Fernando,ATL,4.285714285714286,4.3125,0.026785714285714413,0.006211180124223614
Bryn Forbes,SAS,11.222222222222221,11.563492063492063,0.34126984126984183,0.029512697323267
Buddy Hield,SAC,19.8125,20.4140625,0.6015625,0.029468044393417547
CJ McCollum,POR,22.5,23.612903225806452,1.112903225806452,0.047131147540983576
CJ Miles,WAS,6.4,6.45,0.04999999999999982,0.007751937984496138
Caleb Martin,CHA,6.166666666666667,6.222222222222222,0.05555555555555536,0.008928571428571397
Caleb Swanigan,POR,2.4074074074074074,2.425925925925926,0.0185185185185186,0.007633587786259555
Cam Reddish,ATL,10.517241379310345,10.75,0.2327586206896548,0.02165196471531672
Cameron Johnson,PHX,8.122448979591837,8.244897959183673,0.12244897959183554,0.014851485148514754
Caris LeVert,BKN,17.743589743589745,17.96153846153846,0.2179487179487154,0.012134189864382416
Carmelo Anthony,POR,15.26,16.3,1.040000000000001,0.06380368098159517
Carsen Edwards,BOS,3.0285714285714285,3.1857142857142855,0.15714285714285703,0.049327354260089606
Cedi Osman,CLE,11.046153846153846,11.153846153846153,0.10769230769230731,0.0096551724137931
Chandler Hutchison,CHI,7.785714285714286,7.803571428571429,0.017857142857143238,0.0022883295194509046
